سوزش آور;abradant ، abrasive ، irritant
ابراهیم;abraham ، ebrahim ، ibrahim
ابراهیم پیامبر;abraham
ابراهام لینکلن;abraham lincoln
خراش;abrasion ، cut ، scratch
سیش;abrasion
سیا;abrasive
سینده;abrasive
سیشی;abrasive
مخفف;abreviation ، abreviation ، short ، short
تلخیص شده;abridged
مجمل;abridged ، brief
اقتصار;abridgement
بهم زده;abroach
ممالک بیگانه;abroad
گسترش یافته;abroad
تند;abrubtly ، abrupt ، acrid ، biting ، fast ، fast ، harsh ، hasty ، hot ، peppery ، quick ، quickly ، rapidly ، spicy ، sudden ، suddenly ، vehemently ، violent
ناگهان;abrupt ، sudden ، suddenly
بی مقدمه;abruptly ، sudden ، suddenly
آبسه;abscess
دنبل;abscess
دمل;abscess
پیله;abscess ، cocoon
بعد افقی;abscissa
روپنهان کردن;abscond
نبودن;absence
غیاب;absence
غیبت;absence ، backbiting
مغیب;absence
فقدان;absence ، lack ، loss ، want
غیبی;absence ، invisible ، occult ، oracular
جا خالی;absence ، ducking
غیب;absent ، absent ، absentee ، invisible ، mysterious
غیابی;absent ، absentee
غیرموجود;absent ، unavailable
غیبت کردن;absent ، backbite
کم حافظه;absent-minded ، forgetful
بی حواس;absent-minded
شخص غیب;absentee
حواسپرت;absentminded
حواس پرتی;absentmindedness
اکثریت مطلق;absolut majority
مطلق;absolute ، independent ، unconditional
محض;absolute ، pure
مطلقه;absolute ، divorced
نشانی مطلق;absolute address
جهل مرکب;absolute ignorance
وکالت مطلغ;absolute power of attorney
حکومت مطلقه;absolute rule
قدر مطلق;absolute value
مطلقا;absolutely
مطلقاً;absolutely
علیالاطلاق;absolutely
اعلام بیتقصیری کردن;absolve
بری الذمه کردن;absolve ، exempt
مکیدن;absorb ، suck
جذب کردن;absorb
در کشیدن;absorb ، pull out ، retract
مستغرق بودن;absorb
درآشا میدن;absorb
کاملا فروبردن;absorb
رطوبت کشیدن;absorb moisture
درکش;absorbant
درآشام;absorbant
مکنده;absorbed ، sucker
مستهلک;absorbed ، amortized
منجذب;absorbed ، drawn
فروبری;absorbency ، dipping ، sinking ، swallowing
قابلیت جذب;absorbency
قدرت جذب;absorbency
جاذب;absorbent ، attractive ، charming
نشاف;absorbent
آشامنده;absorber ، drinker
انجذاب;absorption
درآشامی;absorption
درکشی;absorption
جذب;absorption ، attraction
جذب کننده;absorptive
خودداری کردن;abstain ، hold back
نکول کردن;abstain ، retract
پرهیز;abstaining ، abstinence
ممتنع;abstaining ، impossible
پرهیزکار;abstemious
پرهیزگار;abstemious ، continent
نکول;abstention ، rejection ، retraction
شستشو دهنده;abstergent ، tubber
اجتناب;abstinence ، avoidance
پرهیزگاری;abstinence ، continence
پرهیزکاری;abstinence
اجمالی;abstract
انتزاعی;abstract
چکیده کردن;abstract ، summarize
برآهیخته;abstract
اجمال;abstract ، summary
خلاصه;abstract ، in short ، summary
اسم معنی;abstract noun
عدد مطلق;abstract number
تجرید;abstraction ، separation
چکیدگی;abstraction
انتزاع;abstraction ، separation
برآهنگ;abstraction
موجد تجرد;abstractive
تجریدی;abstractive
مغلق;abstruse ، closed
غامض;abstruse ، difficult ، obscure ، problematic
بی معنی;absurd ، meaningless ، meaningless
چرندی;absurd
مزخرف;absurd ، nonsense
مزخرف بودن;absurdity
آبتین;abtin
ابوظبی;abu dhabi
ابو هنیفه;abu hanifa ، doors
ابو موسی زرقاوی;abu musab zarqawi
ابوعلی;abu-ali
ابوطالب;abu-taleb
ابوبکر;abubakr
وفور;abundance
فراوانی;abundance ، plentitude
انبوهی;abundance ، thickness
برکت;abundance ، blessing
وافر;abundant ، plentiful
فراوان;abundant ، widespread
انبوه;abundant ، crowd ، crowded ، dense ، multitude ، thick
شیگان;abundant
فره;abundant ، good
بفراوانی;abundantly
سوءاستفاده کردن;abuse
سواستفاده کردن;abuse
بد بکار بردن;abuse
سوء استفاده;abuse ، misuse ، misusing ، taking advantage
سوءاستعمال;abuse ، misuse
بد استعمال کردن;abuse
سوء استعمال;abusive ، misapplication
فحاش;abusive ، abusive ، foul-mouthed ، foul-mouthed
فحش;abusive language ، swearword
بد زبانی;abusive language
فحاشی;abusiveness ، scurrility ، swearing
مماس بودن;abut
مجاور بودن;abut ، border
بست دیوار;abutment
پیه جناحی;abutment
زمین مجاور;abuttals
زمین همسیه;abuttals
هم مرز;abutting ، neighbour
غوطه ورساختن;abysm ، abyss ، plunge ، submerge ، submers
مغاکی;abysmal
درکه;abyss
مغاک;abyss ، grave ، pit ، tomb
حضیض;abyss ، perigee
ورطه;abyss
ناپیمودنی;abyssal
ژرفزیوی;abyssal
اقاقیا;acacia
انجمن دانش;academia ، scientific society
عضوانجمن علمی;academian
عضو آکادمی;academian ، academician
آکادمیک;academic
عضو فرهنگستان;academic
تحصیلی;academic ، educational
مدرک تحصیلی;academic paper
سال تحصیلی;academic year
فرهنگستان;academy
آکادمی;academy
مکتب فرهنگستان;academy
آموزشگاه;academy ، school
خارسران;acanthocephala
کنگر;acanthus
آکاپولکو;acapulco
فلسفه احتمالی;acatalepsy
رضیت دادن;accede
شتاب بخشیدن;accelerate
سرعت دادن;accelerate
شتاب کردن;accelerate ، hurry
سرعت گرفتن;accelerate
تسریع کردن;accelerate
تسریع شدن;accelerate
تند شدن;accelerate
تسریع;acceleration ، expedition ، speeding up
شتاب;acceleration ، haste ، speed
افزیش سرعت;acceleration
شتابی;accelerative
شتاباننده;accelerator
گاز;accelerator ، bite ، gas ، gauze
تند کن;accelerator
لهجه;accent
گویش;accent ، dialect
لهجهی;accentual
اجابت کردن;accept ، comply
موافقت شدن;accept
قبول کردن;accept
تقبل کردن;accept ، undertake
حاضر شدن;accept ، attend
پذیرفتن;accept
قابلیت پذیرش;acceptability
پذیرفتگی;acceptability ، admissibility
مقبولیت;acceptability
قابل پذیرش;acceptable
پذیرفتنی;acceptable ، admissible
موجه;acceptable ، good
بلامانع;acceptable
قبولی;acceptance
پذیرش;acceptance ، admission
قبول;acceptance
اجابت;acceptance
تقبل;acceptance
آزمون پذیرش;acceptance test
قبول کننده;acceptant ، accepter ، complier
معنی مصطلح;acceptation
مقبول;accepted ، pretty
مستجاب;accepted
پذیرفته;accepted ، admitted
پذیرا;accepting
پذیرنده;acceptor
دسترسی;access ، availability
دستیابی;access
راه یافتن;access ، gain
تقرب;access
کنترل دستیابی;access control
زمان دستیابی;access time
دم دستی;accessible
دستیاب;accessible
بدست آوردنی;accessible ، attainable ، obtainable
دسترس;accessible ، available
الحاق حقوق;accession
جلوس کردن;accession ، sit
جلوس;accession
هم دست;accessory ، helper
سانحه;accident
داهیه;accident
اتفاق;accident ، consensus ، event ، incident ، occurance ، unity
عارضه صرفی;accident
تصادف;accident ، coincidence
حادثه;accident ، event ، phenomenon
عرض;accident ، event ، latitude ، presentation ، remark ، reputation ، width
پیشآمدی;accidental
تصادفی;accidental
عارضی;accidental ، adventitious
عرضی;accidental ، transversal ، widthwise
غیر اساسی;accidental
اتفاقی;accidental ، haphazard
بر حسب تصادف;accidentally
تصادفا;accidentally
بل;accidentally ، haply
سوانح;accidents
عوارض;accidents ، charges ، tariffs
حوادث;accidents
ندا دادن;acclaim
احسنت;acclamation
جی دادن;accommodate
همساز کردن;accommodate
جا دادن;accommodate ، house ، insert ، intercalate ، intromit
دم گیری;accompaniment
دم گیر;accompanist
بدرقه کردن;accompany ، escort
توام کردن;accompany ، conjugate ، join ، link
مصاحبت کردن;accompany
همراه رفتن;accompany ، go along
مشیعت کردن;accompany
بدرقه;accompanying
معاون جرم;accomplice
همداستان;accomplice
شریک جرم;accomplice
دستیار;accomplice ، assistant
بهانجام رساندن;accomplish ، outwork
مهذب;accomplished ، educated ، refined
باکمال;accomplished
صاحب کمال;accomplished ، educated
کامل شده;accomplished
کارکرد;accomplishment ، yield
کمالات;accomplishments
طیب خاطر;accord ، free will
وفق;accordance
به اظهار;according to
به نوشته;according to
به ادعی;according to
به نظر;according to
مطابق;according to ، corresponding ، like ، similar to
طبق;according to ، based on
بمصداق;according to
به گفته;according to
به عقیده;according to
بگزارش;according to
بنابر;according to ، at ، based on
بنابه;according to
بنابگفته;according to
بنا به گفته;according to
بر طبق;according to ، based on ، similar to
بر حسب;according to ، at
بزعم;according to
برطبق;according to
مطابق با;according to ، in accordance with
ممصادق;according to
بروفق;according to
بنا بر مقتضیات;according to circumstances
بر وفق مراد;according to desire
طبق مرسوم;according to habit ، customerily
بر حسب مرسوم;according to habit ، customerily
بعادت معلوف;according to the usual habit
بعادت مالوف;according to the usual habit
وزناً;according to weight
بقرار مسموع;according to what is said
به ین ترتیب;accordingly
نتیجتا;accordingly
از ینرو;accordingly
بدین ترتیب;accordingly
بالنتیجه;accordingly
حساب;account ، limit ، number ، score
تاریخچه;account ، diary
کارت حساب;account card
شماره حساب;account number
صورت حساب بانکی;account statement
قابل توضیح;accountable
حسابداری;accountancy ، accounting
حسابدار;accountant
محاسبه;accounting ، calculation
محاسباتی;accounting ، fiscal
ماشین حسابداری;accounting machine
اداره حسابداری;accounting office
سیستم حسابداری;accounting system
محاسبات;accounts ، calculation ، calculations
مجگ;accrete
منتج گردیدن;accrue
فرهنگ پذیرفتن;acculturate
ذخیره کردن;accumulate ، store
انباشتن;accumulate ، fill up ، pack
ترکم کردن;accumulate
گرد کردن;accumulate ، globe ، round off
اندوختن;accumulate ، acquire ، save
مال اندوختن;accumulate wealth
احتکاری;accumulating
تراکم;accumulation ، compression ، condensation ، congestation ، density
انباشتگی;accumulation ، jam
انباره;accumulator
انباشتگر;accumulator
صحت;accuracy ، good health
دقت;accuracy ، attention ، carefulness
کنترل دقت;accuracy control
راستین;accurate ، real ، true
دقیق;accurate ، precise
افترا;accusation ، calumny ، slander
تهمت;accusation ، charge
اتهام;accusation ، charge
ریی;accusative
اتهامی;accusatory
تهمت آمیز;accusatory
افترا زدن;accuse ، defame
متهم ساختن;accuse
متهم کردن;accuse
تهمت زدن;accuse
تهمت بستن;accuse
متهم;accused ، accused
عادی کردن;accustom ، normalize
عادت دادن;accustom ، habituate
معتاد ساختن;accustom
آشنا شدن;accustom
خو دادن;accustom
خو گرفتن;accustom ، get used to
معتاد شدن;accustom ، habituate
خوگرفته;accustomed
آموخته;accustomed ، graduate ، tame ، taught
کلمات میید;ace
بی یاخته;acellular
غیر سلولی;acellular
بی مرکز;acentric
سوزنی شکل;acerate ، aciform
دبشی;acerbity
استات;acetate
سرکه مانند;acetic ، acid
جوهر سرکه;acetic acid
هخامنشی;achaemenian
عالم اسفل;acheron ، hell ، lower world ، netherworld
موفقیت پذیر;achievable
قابل وصول;achievable ، receivable
صورت پذیر;achievable ، feasible ، practicable ، realizable
قابل تفریق;achievable
دست یافتن;achieve ، gain access
بهانجام رسانیدن;achieve ، finalize
کار بزرگ;achievement ، feat
نقطه ضعف;achilles heel ، blind spot
اسید;acid
حامض;acid
جوهر اسید;acid
وسیله آزمیش;acid test
اسیدی;acidic
اسید دار;acidic
تحمیض;acidification
اسید شدگی;acidification
میه حموضت;acidifier
اسید سنج;acidimeter
اسیدیته;acidity
حموضت;acidity
اسیدگری;acidophile
کج خلق;acidulent ، crabby
اقرار کردن;acknowledge ، confess
اذعان;acknowledgement ، confession ، submission
اعتراف;acknowledgement ، admission ، confession
شهادت نامه;acknowledgment ، affidavit ، affidavit ، affidavy ، certificate
اقرار;acknowledgment ، confession
نقطه کمال;acme
غرور جوانی;acne ، acne ، rash
جوش;acne ، boiling ، weld
یک ور;acock ، atilt
صلع;acomia
بلوط;acorn ، chestnut
سامعه سنج;acoumeter
صوتی;acoustic ، acoustic ، sonic ، vocal ، vocal
صدیی;acoustic
ویژه گر آواشنود;acoustician
صوت شناسی;acoustics ، acoustics ، phonemics
معرفت;acquaintance ، knowledge ، wisdom
آشنا;acquaintance ، familiar
شناسا;acquaintance ، acquainted
بلد;acquainted ، ad ، area ، familiar ، region
تن در دادن;acquiesce
قابل حصول;acquirable ، obtainable ، procurable
علم اندوختن;acquire knowledge
فرا گرفته;acquired ، lerned
مکتسب;acquired ، learned
اکتسابی;acquired
یمنی اکتسابی;acquired immunity
فرا گیری;acquirement ، acquisition ، learning
اندوزنده;acquirer
فراگیری;acquisition ، learning
تحصیل;acquisition ، education
حصول;acquisition ، attainment
اکتساب;acquisition ، getting
اکتساب کننده;acquisitive
روسفید کردن;acquit ، make proud
تبرئه کردن;acquit ، exonerate
تبرئه;acquittal ، exoneration
برائت ذمه;acquittal ، clearance
برائت;acquittance ، innocence
دبش;acrid
گس;acrid ، astringent
گسی;acridity
آکروبات;acrobat ، balancer
گچ بری;acrography ، filet ، fillet ، tore
سر نام;acronym
رو به رو;across ، in front of
ازعرض;across ، widthwise
روبروی;across ، against ، in front of
روب رو;across ، facing ، in front ، in front of ، opposite
روبه روی;across from ، in front of
توشیحی;acrostic
جابجا شونده;acrostic ، moving
پرده;act ، curtain ، veil
یفا کردن;act
اقدام کردن;act
اقدام به عمل آوردن;act
روح دادن;act ، animate ، enliven
واسطه شدن;act as mediator
سهل انگاری کردن;act carelessly
مدارا کردن;act cautiously ، compromise
محافظه کاری کردن;act conservatively
ناز کردن;act coyly ، demure
غر دادن;act coyly
خل بازی در آوردن;act crazy
خل گری کردن;act crazy
نادرستی کردن;act deceitfully ، act dishonestly
احمقانه رفتار کردن;act foolishly
ملیمت کردن;act gently
درشتی کردن;act harshly
خشونت کردن;act harshly
دست از پا خطا کردن;act imprudently ، exceed one's limits
ناجوانمردی کردن;act in a dastardly way
ناشیگری کردن;act inexpertly ، bungle
هرزه گی کردن;act lewdly
خست ورزیدن;act miserly
تقلید کردن;act out ، imitate
حماقت کردن;act stupidly
خریت کردن;act stupidly
یفی نمیش;acting
بازیگری;acting
کفالت کننده;acting
خل بازی;acting crazy
خل گری;acting crazy
تابش سنج;actinometer
کنش;action ، deed ، digging
عمل;action ، operation
فعل;action ، deed ، verb
عملکرد;action ، operation ، revenue
اقدام;action ، effort ، measure ، step
فعل و انفعال;action and reaction
عملیات;actions ، acts ، operations
افعال;actions ، verbs
فعال سازی;activation
کنشی;active
پر تحرک;active ، stirring
فعال;active ، energetic
عامل;active ، agent ، agent ، factor ، skilled
اثرکننده;active agent ، effecter
عنصر فعال;active element
عنصر کنشی;active element
فعالانه;actively ، actively
فعالیت;activity
بازیگر;actor ، actress
بازیگران داستان;actor ، actress
بازیگرزن;actress
اعمال;acts ، applying ، exercising ، functions
حالی;actual ، explained ، present
نشانی واقعی;actual address
نشانوند واقعی;actual argument
کلید واقعی;actual key
امرمسلم;actuality
واقعی کردن;actualize
عملا;actually ، practically
بالفعل;actually
واقعا;actually ، indeed ، really
فعلا;actually ، at present ، currently ، presently
در حقیقت;actually ، indeed
آمارگر;actuary ، statistician
آمارگیر;actuary
بکار اندازی;actuation
بکار اندازنده;actuator
نوک دار;acuminate ، headed ، picked ، pointed ، rostral
عمل تیزکردن;acumination
سوزن فروکردن;acupunctuate
طب سوزنی;acupuncture
سوزن درمانی;acupuncture
حاد;acute ، sharp
سلسله اعصاب مو;acute
زاویه حاده;acute angle
زاویه تند;acute angle
بحدت;acutely
ذکاوت;acuteness
ناچرخهی;acyclic
جنجالی;ad ، troublemaker
چرنده;ad ، grazer
چاروادار;ad ، groom
ضال;ad ، misleading ، misled
بی معرفت;ad ، ignorant ، uneducated ، ungrateful
چیت;ad ، chintz
غادر;ad ، traitor ، treacherous
چنار;ad ، plane tree
فاقد عمومیت;ad hoc
آدم ابولبشر;adam
آدم;adam ، human being ، person
جوزک;adam's apple
یکدنده;adamant ، stubborn
تطبیق دادن;adapt
وفق پذیری;adaptability
وفق پذیر;adaptable
سازواری پزیر;adaptable
سازواری;adaptation ، adaption
اقتباس;adaptation ، aquiring
وفاق;adaptation ، conformity
تطبیق;adaptation ، comparison
اقتباسی;adapted
وفق دهنده;adapter ، adaptor ، syncretic
سازوارگر;adapter ، adaptor
وفقی;adaptive
تطبیقی;adaptive ، comparative
سازواری سنج;adaptometer
سازواری سنجی;adaptometry
دوظرفیتی;adbivalent
افزودن;add
علاوه کردن;add ، increase
اضافه نمودن;add
اضافه کردن;add
آتش دامن زدن;add fuel to fire
دامن زدن;add fuel to the fire
جمع کردن;add up ، collect ، gather
جمع زدن;add up
جمع بندی کردن;add up
اضافه شدنی;addable
افزوده;added ، increased
مار جعفری;adder ، green viper
افزیشگر;adder
مبتلا کردن;addict ، infect
خو گرفتگی;addict
معتاد کردن;addict
معتاد;addict ، addicted
افیونی;addicted
ابتلاء;addiction ، affliction
ابتلا;addiction ، affliction ، suffering
اعتیاد;addiction ، habbit ، use
آموختگی;addiction ، tameness
ماشین افزیشگر;adding machine
جمع بندی;adding up
علاوه;addition ، excess
جمع;addition ، total
جدول افزیشی;addition table
اضافی;additional ، extra
مضافات;additions ، appendages
ملحقات;additions ، attachments
افزیشی;additive
وارون افزیشی;additive inverse
خرف کردن;addle
مخاطب قرار دادن;address
سرخط;address ، written agreement
نشانی;address ، sign
اسم و رسم;address ، fame ، reputation
مخاطب ساختن;address
ورنامه;address
آدرس;address
نشانی دادن;address
خطاب کردن;address
نشانی شمار;address counter
قالب نشانی;address format
خیر مقدم;address of welcome
جز نشانی;address part
ثبات نشانی;address register
متغیر نشانی;address variable
نشانی پذیری;addressability
نشانی پذیر;addressable
مخاطب;addressee ، addresser ، speaker
گیرنده نامه;addressee
نشانی یابی;addressing
نشانی دهی;addressing
خطاب به;addressing
اقامه;adducement ، producing
نزدیک کننده;adductor
استشهاد کردن;adduse
بگواهی خواستن;adduse
عادل;adel ، fair ، just
عادله;adeleh
مرد زبردست;adept
زبر دستی;adeptly ، skill
وافی;adequate
مکفی;adequate
وفادار ماندن;adequateness ، adhere
هواخواه بودن;adequateness ، adhere
متفق بودن;adequateness ، adhere ، agree ، hang together
جور بودن;adequateness ، adhere ، comport
چسباندن;adhere ، stick
چسبیدن;adhere ، cling ، stick
تبعیت;adherence ، citizenship
ملازمت;adherence ، attendance
دوسیدگی;adhesion
قبول عضویت;adhesion
کشش سطحی;adhesion
ملتصق;adhesive ، attached
چسبناک;adhesive ، sticky
چسبنده;adhesive ، sticky ، tenacious
چسبندگی;adhesiveness ، bonding
چسبیدگی;adhesiveness ، attachment
عدی;adi
در فاصله;adinterim
چربی حیوانی;adipose tissue
قرب جوار;adjacence
همجوار;adjacent ، neighboring
زویی مجاور;adjacent angles
صفتی;adjectival
وصفی;adjectival ، attributive ، descriptive
صفت;adjective ، attribute ، quality
مجاور;adjoining ، near ، neighboring ، next to
احقاق کردن;adjudicate
احقاق;adjudication
احقاق حق;adjudication
صفت فرعی;adjunct
مشاع سازی;adjunction
لابه;adjuration
انطباق یافتن;adjust
تنظیم کردن;adjust
تعدیل کردن;adjust
کم و زیاد کردن;adjust
میزان کردن;adjust
منطبق شدن;adjust with ، coincide ، coincide with
قابل تصحیح;adjustable ، corrigible
تنظیم پذیر;adjustable
آچار فرانسه;adjustable wrench
تنظیم کننده;adjuster ، composer
معدل;adjuster ، adjuster ، average ، average
منطبق;adjusting ، applicable ، coincident ، coinciding
انطباق;adjustment
تعدیل;adjustment ، modification
تنظیم;adjustment ، regulation ، setting
تصحیح;adjustment ، correction
آجودان;adjutant
یاری کننده;adjuvant ، coadjutor
بمیل خود;adlib
احقاق حق کردن;administer justice
اداره کل;administration
وصیت;administration ، testament ، will
فرمداری;administration
دادگستری;administration of justice ، department of justice
اداری;administrative ، ministerial ، official
فرمدار;administrator ، administrator
ادارهکننده;administrator ، gerent
مدیر تصفیه;administrator
ستودنی;admirable ، praiseworthy
هژیر;admirable ، clever ، praiseworthy
پسندیده;admirable ، chosen ، selected
قابل تحسین;admirable
قابل پسند;admirable
دریاسالار;admiral
دریابیگی;admiral
دریاسالاری;admiralty
تحسین;admiration ، applause
پسند;admiration
پسندیدن;admire ، choose ، like ، select
متعجب ساختن;admire ، make wonder ، surprise ، surprise ، surprize
تحسین کردن;admire ، applaud
ستینده;admirer
تحسینکننده;admirer
ستیشگر;admirer
روا بودن;admissibility
روائی;admissibility
قابلت قبول;admissibility
اختیارداری;admissibility ، exercise of control
روا;admissible ، lawful ، permissible
قابل تصدیق;admissible
مجاز;admissible ، allegory ، allowable ، authorized ، lawful ، metaphor ، permissible
بارداد;admission
دخول;admission ، entrance
اجازه ورود;admission ، permission to enter
اجازه دخول;admission
ورودیه;admission fee
حقالورود;admission fee
هدیت ظاهری;admittance
معترفا;admittedly
بهم پیوستن;admix ، anastomosis ، incorporate ، inosculate ، interconnect ، interlock ، knit ، knot ، link ، mosaic
هم آمیزه;admixtion ، admixture
پند دادن;admonish ، advise
نصیحت آمیز;admonitive ، advisory ، hortative ، sententious
عبرتانگیز;admonitory
عدنان پاچه چی;adnan pachechi
غیرمشخص;adnspicuous ، inco ، indefinite ، unclear
بلوغ;adolescence ، puberty
نوخاسته;adolescent ، youthful
نوجوان;adolescent ، adolescent ، teenager
فرا گرفتن;adopt ، envelop ، include ، learn ، merge
اتخاذ کردن;adopt
تخلص کردن;adopt a pen name
خواهر خوانده;adopted sister
پسرخوانده;adopted son
تبنی;adoption
اتخاذ;adoption ، choosing
قابلیت پرستش;adorability ، adorableness
قابل پرستش;adorable ، adorable ، worshipful
عشق ورزی;adoration ، love-making
پرستش;adoration ، worship
پرستیدن;adore ، worship
آراستن;adorn ، decorate
پیراستن;adorn ، decorate
آریش دادن;adorn
آریش کردن;adorn
مزین کردن;adorn ، decorate
آریش دهنده;adorning
تزیین;adornment ، decoration
پیراستگی;adornment ، decoration
آریش;adornment
آراستگی;adornment
تراز;adornment ، balance ، decoration ، level
زینت;adornment ، ornament
شبیه آدرنالین;adrenergic
غوطه ورروی آب مج;adrift
زبر دست;adroit ، industrious
جذب سطحی;adsorption
ضعف پیری;aducity
