a few;کمی
abradant;سوزش آور
abraham;ابراهیم ، ابراهیم پیامبر
abraham lincoln;ابراهام لینکلن
abrasion;خراش ، سیش
abrasive;سوزش آور ، سیا ، سینده ، سیشی
abreviation;مخفف ، مخفف
abridged;تلخیص شده ، مجمل
abridgement;اقتصار
abroach;بهم زده
abroad;ممالک بیگانه ، گسترش یافته
abrubtly;تند
abrupt;ناگهان ، تند
abruptly;بی مقدمه
abscess;آبسه ، دنبل ، دمل ، پیله
abscissa;بعد افقی
abscond;روپنهان کردن
absence;نبودن ، غیاب ، غیبت ، مغیب ، فقدان ، غیبی ، جا خالی
absent;غیب ، غیب ، غیابی ، غیرموجود ، غیبت کردن
absent-minded;کم حافظه ، بی حواس
absentee;شخص غیب ، غیابی ، غیب
absentminded;حواسپرت
absentmindedness;حواس پرتی
absolut majority;اکثریت مطلق
absolute;مطلق ، محض ، مطلقه
absolute address;نشانی مطلق
absolute ignorance;جهل مرکب
absolute power of attorney;وکالت مطلغ
absolute rule;حکومت مطلقه
absolute value;قدر مطلق
absolutely;مطلقا ، مطلقاً ، علیالاطلاق
absolve;اعلام بیتقصیری کردن ، بری الذمه کردن
absorb;مکیدن ، جذب کردن ، در کشیدن ، مستغرق بودن ، درآشا میدن ، کاملا فروبردن
absorb moisture;رطوبت کشیدن
absorbant;درکش ، درآشام
absorbed;مکنده ، مستهلک ، منجذب
absorbency;فروبری ، قابلیت جذب ، قدرت جذب
absorbent;جاذب ، نشاف
absorber;آشامنده
absorption;انجذاب ، درآشامی ، درکشی ، جذب
absorptive;جذب کننده
abstain;خودداری کردن ، نکول کردن
abstaining;پرهیز ، ممتنع
abstemious;پرهیزکار ، پرهیزگار
abstention;نکول
abstergent;شستشو دهنده
abstinence;اجتناب ، پرهیزگاری ، پرهیزکاری ، پرهیز
abstract;اجمالی ، انتزاعی ، چکیده کردن ، برآهیخته ، اجمال ، خلاصه
abstract noun;اسم معنی
abstract number;عدد مطلق
abstraction;تجرید ، چکیدگی ، انتزاع ، برآهنگ
abstractive;موجد تجرد ، تجریدی
abstruse;مغلق ، غامض
absurd;بی معنی ، چرندی ، مزخرف
absurdity;مزخرف بودن
abtin;آبتین
abu dhabi;ابوظبی
abu hanifa;ابو هنیفه
abu musab zarqawi;ابو موسی زرقاوی
abu-ali;ابوعلی
abu-taleb;ابوطالب
abubakr;ابوبکر
abundance;وفور ، فراوانی ، انبوهی ، برکت
abundant;وافر ، فراوان ، انبوه ، شیگان ، فره
abundantly;بفراوانی
abuse;سوءاستفاده کردن ، سواستفاده کردن ، بد بکار بردن ، سوء استفاده ، سوءاستعمال ، بد استعمال کردن
abusive;سوء استعمال ، فحاش ، فحاش
abusive language;فحش ، بد زبانی
abusiveness;فحاشی
abut;مماس بودن ، مجاور بودن
abutment;بست دیوار ، پیه جناحی
abuttals;زمین مجاور ، زمین همسیه
abutting;هم مرز
abysm;غوطه ورساختن
abysmal;مغاکی
abyss;درکه ، مغاک ، حضیض ، ورطه ، غوطه ورساختن
abyssal;ناپیمودنی ، ژرفزیوی
acacia;اقاقیا
academia;انجمن دانش
academian;عضوانجمن علمی ، عضو آکادمی
academic;آکادمیک ، عضو فرهنگستان ، تحصیلی
academic paper;مدرک تحصیلی
academic year;سال تحصیلی
academician;عضو آکادمی
academy;فرهنگستان ، آکادمی ، مکتب فرهنگستان ، آموزشگاه
acanthocephala;خارسران
acanthus;کنگر
acapulco;آکاپولکو
acatalepsy;فلسفه احتمالی
accede;رضیت دادن
accelerate;شتاب بخشیدن ، سرعت دادن ، شتاب کردن ، سرعت گرفتن ، تسریع کردن ، تسریع شدن ، تند شدن
acceleration;تسریع ، شتاب ، افزیش سرعت
accelerative;شتابی
accelerator;شتاباننده ، گاز ، تند کن
accent;لهجه ، گویش
accentual;لهجهی
accept;اجابت کردن ، موافقت شدن ، قبول کردن ، تقبل کردن ، حاضر شدن ، پذیرفتن
acceptability;قابلیت پذیرش ، پذیرفتگی ، مقبولیت
acceptable;قابل پذیرش ، پذیرفتنی ، موجه ، بلامانع
acceptance;قبولی ، پذیرش ، قبول ، اجابت ، تقبل
acceptance test;آزمون پذیرش
acceptant;قبول کننده
acceptation;معنی مصطلح
accepted;مقبول ، مستجاب ، پذیرفته
accepter;قبول کننده
accepting;پذیرا
acceptor;پذیرنده
access;دسترسی ، دستیابی ، راه یافتن ، تقرب
access control;کنترل دستیابی
access time;زمان دستیابی
accessible;دم دستی ، دستیاب ، بدست آوردنی ، دسترس
accession;الحاق حقوق ، جلوس کردن ، جلوس
accessory;هم دست
accident;سانحه ، داهیه ، اتفاق ، عارضه صرفی ، تصادف ، حادثه ، عرض
accidental;پیشآمدی ، تصادفی ، عارضی ، عرضی ، غیر اساسی ، اتفاقی
accidentally;بر حسب تصادف ، تصادفا ، بل
accidents;سوانح ، عوارض ، حوادث
acclaim;ندا دادن
acclamation;احسنت
accommodate;جی دادن ، همساز کردن ، جا دادن
accompaniment;دم گیری
accompanist;دم گیر
accompany;بدرقه کردن ، توام کردن ، مصاحبت کردن ، همراه رفتن ، مشیعت کردن
accompanying;بدرقه
accomplice;معاون جرم ، همداستان ، شریک جرم ، دستیار
accomplish;بهانجام رساندن
accomplished;مهذب ، باکمال ، صاحب کمال ، کامل شده
accomplishment;کارکرد
accomplishments;کمالات
accord;طیب خاطر
accordance;وفق
according to;به اظهار ، به نوشته ، به ادعی ، به نظر ، مطابق ، طبق ، بمصداق ، به گفته ، به عقیده ، بگزارش ، بنابر ، بنابه ، بنابگفته ، بنا به گفته ، بر طبق ، بر حسب ، بزعم ، برطبق ، مطابق با ، ممصادق ، بروفق
according to circumstances;بنا بر مقتضیات
according to desire;بر وفق مراد
according to habit;طبق مرسوم ، بر حسب مرسوم
according to the usual habit;بعادت معلوف ، بعادت مالوف
according to weight;وزناً
according to what is said;بقرار مسموع
accordingly;به ین ترتیب ، نتیجتا ، از ینرو ، بدین ترتیب ، بالنتیجه
account;حساب ، تاریخچه
account card;کارت حساب
account number;شماره حساب
account statement;صورت حساب بانکی
accountable;قابل توضیح
accountancy;حسابداری
accountant;حسابدار
accounting;محاسبه ، حسابداری ، محاسباتی
accounting machine;ماشین حسابداری
accounting office;اداره حسابداری
accounting system;سیستم حسابداری
accounts;محاسبات
accrete;مجگ
accrue;منتج گردیدن
acculturate;فرهنگ پذیرفتن
accumulate;ذخیره کردن ، انباشتن ، ترکم کردن ، گرد کردن ، اندوختن
accumulate wealth;مال اندوختن
accumulating;احتکاری
accumulation;تراکم ، انباشتگی
accumulator;انباره ، انباشتگر
accuracy;صحت ، دقت
accuracy control;کنترل دقت
accurate;راستین ، دقیق
accusation;افترا ، تهمت ، اتهام
accusative;ریی
accusatory;اتهامی ، تهمت آمیز
accuse;افترا زدن ، متهم ساختن ، متهم کردن ، تهمت زدن ، تهمت بستن
accused;متهم ، متهم
accustom;عادی کردن ، عادت دادن ، معتاد ساختن ، آشنا شدن ، خو دادن ، خو گرفتن ، معتاد شدن
accustomed;خوگرفته ، آموخته
ace;کلمات میید
acellular;بی یاخته ، غیر سلولی
acentric;بی مرکز
acerate;سوزنی شکل
acerbity;دبشی
acetate;استات
acetic;سرکه مانند
acetic acid;جوهر سرکه
achaemenian;هخامنشی
acheron;عالم اسفل
achievable;موفقیت پذیر ، قابل وصول ، صورت پذیر ، قابل تفریق
achieve;دست یافتن ، بهانجام رسانیدن
achievement;کار بزرگ
achilles heel;نقطه ضعف
acid;اسید ، سرکه مانند ، حامض ، جوهر اسید
acid test;وسیله آزمیش
acidic;اسیدی ، اسید دار
acidification;تحمیض ، اسید شدگی
acidifier;میه حموضت
acidimeter;اسید سنج
acidity;اسیدیته ، حموضت
acidophile;اسیدگری
acidulent;کج خلق
aciform;سوزنی شکل
acknowledge;اقرار کردن
acknowledgement;اذعان ، اعتراف
acknowledgment;شهادت نامه ، اقرار
acme;نقطه کمال
acne;غرور جوانی ، جوش ، غرور جوانی
acock;یک ور
acomia;صلع
acorn;بلوط
acoumeter;سامعه سنج
acoustic;صوتی ، صدیی ، صوتی
acoustician;ویژه گر آواشنود
acoustics;صوت شناسی ، صوت شناسی
acquaintance;معرفت ، آشنا ، شناسا
acquainted;بلد ، شناسا
acquiesce;تن در دادن
acquirable;قابل حصول
acquire;اندوختن
acquire knowledge;علم اندوختن
acquired;فرا گرفته ، مکتسب ، اکتسابی
acquired immunity;یمنی اکتسابی
acquirement;فرا گیری
acquirer;اندوزنده
acquisition;فراگیری ، تحصیل ، فرا گیری ، حصول ، اکتساب
acquisitive;اکتساب کننده
acquit;روسفید کردن ، تبرئه کردن
acquittal;تبرئه ، برائت ذمه
acquittance;برائت
acrid;تند ، دبش ، گس
acridity;گسی
acrobat;آکروبات
acrography;گچ بری
acronym;سر نام
across;رو به رو ، ازعرض ، روبروی ، روب رو
across from;روبه روی
acrostic;توشیحی ، جابجا شونده
act;پرده ، یفا کردن ، اقدام کردن ، اقدام به عمل آوردن ، روح دادن
act as mediator;واسطه شدن
act carelessly;سهل انگاری کردن
act cautiously;مدارا کردن
act conservatively;محافظه کاری کردن
act coyly;ناز کردن ، غر دادن
act crazy;خل بازی در آوردن ، خل گری کردن
act deceitfully;نادرستی کردن
act dishonestly;نادرستی کردن
act foolishly;احمقانه رفتار کردن
act gently;ملیمت کردن
act harshly;درشتی کردن ، خشونت کردن
act imprudently;دست از پا خطا کردن
act in a dastardly way;ناجوانمردی کردن
act inexpertly;ناشیگری کردن
act lewdly;هرزه گی کردن
act miserly;خست ورزیدن
act out;تقلید کردن
act stupidly;حماقت کردن ، خریت کردن
acting;یفی نمیش ، بازیگری ، کفالت کننده
acting crazy;خل بازی ، خل گری
actinometer;تابش سنج
action;کنش ، عمل ، فعل ، عملکرد ، اقدام
action and reaction;فعل و انفعال
actions;عملیات ، افعال
activation;فعال سازی
active;کنشی ، پر تحرک ، فعال ، عامل
active agent;اثرکننده
active element;عنصر فعال ، عنصر کنشی
actively;فعالانه ، فعالانه
activity;فعالیت
actor;بازیگر ، بازیگران داستان
actress;بازیگران داستان ، بازیگر ، بازیگرزن
acts;عملیات ، اعمال
actual;حالی
actual address;نشانی واقعی
actual argument;نشانوند واقعی
actual key;کلید واقعی
actuality;امرمسلم
actualize;واقعی کردن
actually;عملا ، بالفعل ، واقعا ، فعلا ، در حقیقت
actuary;آمارگر ، آمارگیر
actuation;بکار اندازی
actuator;بکار اندازنده
acuminate;نوک دار
acumination;عمل تیزکردن
acupunctuate;سوزن فروکردن
acupuncture;طب سوزنی ، سوزن درمانی
acute;حاد ، سلسله اعصاب مو
acute angle;زاویه حاده ، زاویه تند
acutely;بحدت
acuteness;ذکاوت
acyclic;ناچرخهی
ad;جنجالی ، چرنده ، چاروادار ، بلد ، ضال ، بی معرفت ، چیت ، غادر ، چنار
ad hoc;فاقد عمومیت
adam;آدم ابولبشر ، آدم
adam's apple;جوزک
adamant;یکدنده
adapt;تطبیق دادن
adaptability;وفق پذیری
adaptable;وفق پذیر ، سازواری پزیر
adaptation;سازواری ، اقتباس ، وفاق ، تطبیق
adapted;اقتباسی
adapter;وفق دهنده ، سازوارگر
adaption;سازواری
adaptive;وفقی ، تطبیقی
adaptometer;سازواری سنج
adaptometry;سازواری سنجی
adaptor;سازوارگر ، وفق دهنده
adbivalent;دوظرفیتی
add;افزودن ، علاوه کردن ، اضافه نمودن ، اضافه کردن
add fuel to fire;آتش دامن زدن
add fuel to the fire;دامن زدن
add up;جمع کردن ، جمع زدن ، جمع بندی کردن
addable;اضافه شدنی
added;افزوده
adder;مار جعفری ، افزیشگر
addict;مبتلا کردن ، خو گرفتگی ، معتاد کردن ، معتاد
addicted;افیونی ، معتاد
addiction;ابتلاء ، ابتلا ، اعتیاد ، آموختگی
adding machine;ماشین افزیشگر
adding up;جمع بندی
addition;علاوه ، جمع
addition table;جدول افزیشی
additional;اضافی
additions;مضافات ، ملحقات
additive;افزیشی
additive inverse;وارون افزیشی
addle;خرف کردن
address;مخاطب قرار دادن ، سرخط ، نشانی ، اسم و رسم ، مخاطب ساختن ، ورنامه ، آدرس ، نشانی دادن ، خطاب کردن
address counter;نشانی شمار
address format;قالب نشانی
address of welcome;خیر مقدم
address part;جز نشانی
address register;ثبات نشانی
address variable;متغیر نشانی
addressability;نشانی پذیری
addressable;نشانی پذیر
addressee;مخاطب ، گیرنده نامه
addresser;مخاطب
addressing;نشانی یابی ، نشانی دهی ، خطاب به
adducement;اقامه
adductor;نزدیک کننده
adduse;استشهاد کردن ، بگواهی خواستن
adel;عادل
adeleh;عادله
adept;مرد زبردست
adeptly;زبر دستی
adequate;وافی ، مکفی
adequateness;وفادار ماندن ، هواخواه بودن ، متفق بودن ، جور بودن
adhere;چسباندن ، جور بودن ، چسبیدن ، وفادار ماندن ، هواخواه بودن ، متفق بودن
adherence;تبعیت ، ملازمت
adhesion;دوسیدگی ، قبول عضویت ، کشش سطحی
adhesive;ملتصق ، چسبناک ، چسبنده
adhesiveness;چسبندگی ، چسبیدگی
adi;عدی
adinterim;در فاصله
adipose tissue;چربی حیوانی
adjacence;قرب جوار
adjacent;همجوار
adjacent angles;زویی مجاور
adjectival;صفتی ، وصفی
adjective;صفت
adjoining;مجاور
adjudicate;احقاق کردن
adjudication;احقاق ، احقاق حق
adjunct;صفت فرعی
adjunction;مشاع سازی
adjuration;لابه
adjust;انطباق یافتن ، تنظیم کردن ، تعدیل کردن ، کم و زیاد کردن ، میزان کردن
adjust with;منطبق شدن
adjustable;قابل تصحیح ، تنظیم پذیر
adjustable wrench;آچار فرانسه
adjuster;تنظیم کننده ، معدل ، معدل
adjusting;منطبق
adjustment;انطباق ، تعدیل ، تنظیم ، تصحیح
adjutant;آجودان
adjuvant;یاری کننده
adlib;بمیل خود
administer justice;احقاق حق کردن
administration;اداره کل ، وصیت ، فرمداری
administration of justice;دادگستری
administrative;اداری
administrator;فرمدار ، ادارهکننده ، مدیر تصفیه ، فرمدار
admirable;ستودنی ، هژیر ، پسندیده ، قابل تحسین ، قابل پسند
admiral;دریاسالار ، دریابیگی
admiralty;دریاسالاری
admiration;تحسین ، پسند
admire;پسندیدن ، متعجب ساختن ، تحسین کردن
admirer;ستینده ، تحسینکننده ، ستیشگر
admissibility;روا بودن ، روائی ، قابلت قبول ، پذیرفتگی ، اختیارداری
admissible;روا ، پذیرفتنی ، قابل تصدیق ، مجاز
admission;اعتراف ، بارداد ، دخول ، پذیرش ، اجازه ورود ، اجازه دخول
admission fee;ورودیه ، حقالورود
admittance;هدیت ظاهری
admitted;پذیرفته
admittedly;معترفا
admix;بهم پیوستن
admixtion;هم آمیزه
admixture;هم آمیزه
admonish;پند دادن
admonitive;نصیحت آمیز
admonitory;عبرتانگیز
adnan pachechi;عدنان پاچه چی
adnspicuous;غیرمشخص
adolescence;بلوغ
adolescent;نوخاسته ، نوجوان ، نوجوان
adopt;فرا گرفتن ، اتخاذ کردن
adopt a pen name;تخلص کردن
adopted sister;خواهر خوانده
adopted son;پسرخوانده
adoption;تبنی ، اتخاذ
adorability;قابلیت پرستش
adorable;قابل پرستش ، قابل پرستش
adorableness;قابلیت پرستش
adoration;عشق ورزی ، پرستش
adore;پرستیدن
adorn;آراستن ، پیراستن ، آریش دادن ، آریش کردن ، مزین کردن
adorning;آریش دهنده
adornment;تزیین ، پیراستگی ، آریش ، آراستگی ، تراز ، زینت
adrenergic;شبیه آدرنالین
adrift;غوطه ورروی آب مج
adroit;زبر دست
adsorption;جذب سطحی
aducity;ضعف پیری
aductive;استشهادی
adulate;مدح گفتن
adult;بالغ ، بالغ ، بزرگ سال ، بزرگ سال ، بزرگ ، بزرگسال
adult education;آموزش بزرگسالان
adult school;مدرسه بزرگسالان ، مدرسه اکابر
adulterant;استحاله دهنده
adulterate;جازن ، جازن
adulteration;استحاله
adulterer;فاجر ، مرد زناکار ، زانی ، زناکار ، فاجر ، زانی ، زناکار
adulteress;فاجره ، زن زناکار ، زانیه ، فاجره ، زانیه
adulterous;زناکارانه
adultery;زنی محصنه ، ازدواج غیرشرعی ، زنا
adults;اکابر
advance;پیش افتادن ، پیشرفت کردن ، جلو افتادن ، جلو آمدن ، جلو رفتن ، ترقی دادن ، جلو بردن ، ترقی کردن ، راقی ، پیش رفتن ، پیشروی ، پیشروی کردن
advance fare;پیش کریه
advance money;سلم
advance payment;پیش پرداخت ، مساعده
advance purchase;سلف خری
advance wage;پیش مزد
advanced;پیشرفته ، سلم
advancement;پیشروی ، ترفیع ، پیشرفتگی ، پیشرفت
advancing;راقی
advantage;مفید بودن ، حسن ، سودمند بودن ، فیده ، منفعت ، مزیت ، مزیت دادن
advantageous;نافع ، باصرفه
advantages;منافع
advent;ظهور
adventitious;نابجا ، عارضی ، غیر موروثی
adventive;نابومی
adventure;خوان ، ماجریی ، ماجرا
adventurer;ماجراجو ، ماجرا جو ، ماجراجو ، حادثه جو ، حادثه جو
adventuress;زن جسور
adventurous;پرماجرا ، پر سرگذشت ، مخاطره آمیز ، ماجراجویانه ، مخاطره طلب ، ماجراجو
adventurousness;ماجراجویی
adverb;عبارت قیدی ، معین فعل
adverb of place;اسم مکان
adverb of time;اسم زمان
adverbial;ظرفی
adversary;هم آورد ، هم آورد ، هم نبرد
adversative;نقضآمیز
adverse;ناموافق
adversity;نکبت ، ضرا ، شقاوت ، ادبار
adverting;عطف
advertise;آگهی کردن ، اعلان کردن
advertisement;اگهی ، تبلیغ ، اعلان ، آگهی
advertiser;آگهی گر
advice;اطلاع ، پند ، اندرز ، صوابدید ، نصیحت
advisable;مصلحتآمیز ، صواب ، مقتضی ، مصلحتی ، مصلحت آمیز ، مقرون بصلاح ، قابل توصیه
advise;نصیحت کردن ، پند گفتن ، پند دادن ، توصیه کردن ، آگاه کردن ، تجویز ، اعلامیه ، اندرز دادن
adviser;ناصح ، رهنمون ، رهنمون
advisers;نصحا ، ندما
advisor;مستشار ، مشاور ، استاد راهنما
advisory;مشورتی ، نصیحت آمیز ، نصیحتی
advocacy;طرفداری
advocate;وکیل مدافع ، طرفدار بودن
aegean;اژه
aeon;قرن بی انتها
aeration;هوا خوردگی
aerial;هویی
aerie;آشیانه مرتفع
aeriferous;هوابر
aerification;تهویه
aerobatics;پرواز خوبی
aerobiosis;هوازیستی ، هوازی
aerogram;هوا نامه
aerogramme;هوا نامه
aerolite;شهاب ثاقب
aerology;جوشناسی
aeronautics;دانش هواپیمائی
aeroscopy;هوابینی
aerospace;آرواسپیس
aerosphere;اتمسفر ، کره هوا
aesthete;جمال پرست
aesthetic;ظریف طبع
aestheticism;زیبیی پرستی
aesthetics;زیبائی شناسی ، زیبیی گریی
aestival;ناخوشی تابستانی
afagh;آفاق
afarin;آفرین
afat;عفت
affable;خوش برخورد ، خوش خلق
affair;مصلحت ، حاجت ، امر
affaire;کار و بار
affairs;امور ، مصالح
affect;تاثیر گذاردن ، اثر کردن
affectation;تصنع
affected;تصنعی ، مبتلا ، دچارعلت کردن
affected with;مبتلا به
affection;عاطفه ، علاقه ، محبت ، عطوفت ، رافت ، عطف
affectional;عطفی
affectionate;عاطف ، با محبت ، مهربان ، محبت آمیز
affeir;کار و بار
affidavit;سوگندنامه ، استشهاد نامه ، شهادت نامه ، شهادت نامه ، استشهاد
affidavy;شهادت نامه
affiliate;مربوط ساختن
affine;نسبت ازدواجی
affirm;آشکارا گفتن ، بحق دانستن
affirmation;یجاب
affirmative;تصدیقآمیز ، مبت ، عبارت مثبت ، اظهار مثبت ، مبت
affirmative answer;جواب مثبت
afflatus;وحی الهی
afflict;رنجور کردن
afflicted;غمزده ، غصه دار ، مستمند ، مصیبت زده ، غمدیده ، رنجه ، بلا دیده ، دلخسته
afflicting;گریبان گیر
affliction;ابتلاء ، غمزدگی ، ابتلا ، مصیبت ، رنجوری ، مشقت
afflictive;رنجورساز
affluence;نعمت ، تنعم
afford;از عهده برآمدن ، استطاعت داشتن
afforest;جنگلکاری کردن
affright;وحشت زده
affront;روبرو دشنام دادن
affusion;عمل پاشیدن
afghan;افغان
afghan arabs;عربهی افغانی
afghanistan;فغانستان ، افغانستان
afghans;افاغنه
aflame;مشتعل
afloat;در حرکت
afoot;برپا
aforementioned;مبور ، سابق الذکر ، بالاگفته ، مزبور ، اخیرالذکر ، یاد شده
aforesaid;مذکور
afra;افرا
afraid;ترسان ، بیمناک ، خائف ، خوفناک ، ترسنده
africa;افریقا ، آفریقا
african;افریقیی ، آفریقیی ، آفریقیی ، افریقیی
african american;سیاه پوست ، سیاه پوست
african-american;آفریقیی آمریکیی
afro american;سیاهپوست
afro-american;سیاهپوست
afsaneh;افسانه
afsar;افسر
afshan;افشان
afshar;افشار
afshin;افشین
after;از پس ، پس از ، پی ، دنبال ، بیادبود ، بعد از ینکه ، به دنبال ، پساز ، پس از ینکه ، بعد ، پس از آن که ، بعد از
after that;بدنبال آن
aftereffect;اثر ثانوی
afterglow;پس تاب ، پس فروزش
afterlife;عقبی ، آخرت
aftermath;پسیند
aftermost;عقب ترین
afternoon;عصر ، نیمروزی ، بعد از ظهر ، عصر
aftertaste;لذت ثانوی ، لذت بعدی
afterwards;بعد از آن ، سپس ، بعد از آن ، پسازآن ، بعدا
afterworld;عالمفانی ، عالمآخرت
again;دیگر بار ، دو مرتبه ، مجددا ، مکرراً ، دومرتبه ، دوباره ، باز ، باز هم ، ازنو
against;خلاف ، علیه ، بر ضد ، بخلاف ، در برابر ، برضد ، برخلاف ، بر خلاف ، در مقابل ، روبروی ، مقابل ، بر علیه
agalactous;کم شیر
agape;درشگفت
agate;عقیق
age;سالخورده شدن ، عصر ، قدم ، پیرنما کردن ، قدمت ، سن
age of;سالگی
age of puberty;حد بلوق
age-wise;سنی
aged;سالمند ، معمر ، سالمند ، کهنسال ، مسن
agence france-presse;آژانس فرانس پرس
agency;پیشکاری ، کارگزاری ، دفترنمیندگی ، وکالت ، نمیندگی ، بنگاه ، آژانس
agenda;برنامه عملیات
agendum;دستور کار
agent;فاعل ، عامل ، کار گذار ، فاعل ، پیشکار ، مامور ، نمینده ، عامل ، سازه
agentless;بی فاعل
agents;عمال ، عوامل
ages;سنین
agewise;سنی
agglomerate;جوش آتشفشانی
agglutination;عمل چسباندن
aggrade;خاکریزی کردن
aggravate the situation;مزید بر علت شدن
aggravated;مشدد
aggravation;تشدید
aggregate;جمع شده ، متراکم ساختن
aggression;تجاوز ، دست درازی ، تعرض ، درازدستی ، دراز دستی
aggressive;دراز دست ، پرپشتکار ، تعرضی ، پرخاشگر ، پرتکاپو ، تجاوز کارانه ، تجاوزی ، درازدست
aggressor;متجاوز ، متجاوز ، تجاوزکار ، مهاجم
aghajari;آغاجری
aghanur;آقانور
aghast;وحشت زده
aghazadeh;آقازاده
aghdas;اقدس
aghigh;عقیق
aghil;عقیل
aghsa;اقصی
agile;سریعالانتقال
agility;سبکبالی
aging;کهنهشدنشراب ، سالخوردگی
agiotage;سفته بازی
agitate;بر آشفتن ، سرآسیمه کردن ، آشفته کردن ، مشوش کردن
agitated;آشفته ، متلاطم ، مشوش
agitation;خلجان ، آشفتگی ، تلاطم
agitator;آشوبگر
aglet;کویچ
aglitter;متلالا ، درتابش
ago;قبل ، پیش
agonist;دچار اضطراب
agonistic;مستعد جنگ ، مشار ، کوشش آمیز
agonizing;رنجآور ، سوزناک
agonizing to death;جان کندن
agony;سکرات مرگ ، رنج
agony of death;نزع ، احتضار
